gold_id,labeler_id,is_correct,notes
gk_8a18d6891290,alice,no,
gk_5d5ca39adc30,alice,yes,
gk_20283056603e,alice,yes,
gk_3cb15864d94c,alice,yes,
gk_060b1c310810,alice,yes,
gk_a07273728fbf,alice,yes,
gk_7783939f22e2,alice,yes,
gk_2909b880b98c,alice,yes,
gk_05f90f8feda2,alice,yes,
gk_6ead160e021f,alice,no,
gk_7822e8a27618,alice,no,
gk_10cb1baae8ac,alice,yes,
gk_8169b7f52251,alice,yes,
gk_1b268d729396,alice,yes,
gk_cb425170aaa5,alice,no,
gk_a44a9b60c227,alice,yes,
gk_7bb89083a1bb,alice,yes,
gk_95e527af1812,alice,yes,
gk_a141f6b7c7b2,alice,yes,
gk_b0a12ad7dd0c,alice,yes,
gk_d7ddb24e36d6,alice,yes,
gk_413b69217960,alice,no,
gk_b8a34904cb23,alice,yes,
gk_3f98ba2dafcd,alice,yes,
gk_e7761dd38a08,alice,no,
gk_b473a59e1bc1,alice,no,
gk_da31b82622b1,alice,yes,
gk_6b5b4593f4b1,alice,yes,
gk_f529adac001f,alice,yes,
gk_e53f6ce6840c,alice,no,
gk_4280649e7f34,alice,yes,
gk_4bab8e664e72,alice,no,
gk_156b4fc0ca57,alice,yes,
gk_29725298848a,alice,yes,
gk_6c67b8b31d6b,alice,yes,
gk_9bf83c604693,alice,yes,
gk_66bca69beb68,alice,yes,
gk_8bf05800d37e,alice,yes,
gk_d221e57fd44f,alice,yes,
gk_ae209572e7b3,alice,yes,
gk_31d88b05c24f,alice,yes,
gk_5a6b5d223d60,alice,yes,
gk_f3eef224bce4,alice,yes,
gk_95179dcee6bc,alice,no,
gk_528dad18792e,alice,yes,
gk_5027ff25975e,alice,yes,
gk_da4147d886c3,alice,no,
gk_f508d09996cb,alice,no,
gk_69ae0b0dfe50,alice,no,
gk_d0456b61c75e,alice,yes,
gk_22d09f29c81f,alice,yes,
gk_764cd2bcb570,alice,no,
gk_2e22479d67ff,alice,yes,
gk_a3e051cb0d7f,alice,yes,
gk_85c28d576a02,alice,no,
gk_a2c6f6f51a7a,alice,yes,
gk_33fd45dc4805,alice,yes,
gk_79f607841687,alice,yes,
gk_805d1ef1e54f,alice,yes,
gk_84de72ddfe0b,alice,yes,
gk_26b0b06781c5,alice,yes,
gk_fdfd9fe12cb0,alice,no,
gk_e1ee40bb2371,alice,no,
gk_8ed3aeb42a57,alice,yes,
gk_45daebd04e36,alice,no,
gk_8a18d6891290,dewi,no,
gk_5d5ca39adc30,dewi,yes,
gk_20283056603e,dewi,yes,
gk_3cb15864d94c,dewi,yes,
gk_060b1c310810,dewi,yes,
gk_a07273728fbf,dewi,yes,
gk_7783939f22e2,dewi,yes,
gk_2909b880b98c,dewi,yes,
gk_05f90f8feda2,dewi,yes,
gk_6ead160e021f,dewi,no,
gk_7822e8a27618,dewi,no,
gk_10cb1baae8ac,dewi,yes,
gk_8169b7f52251,dewi,yes,
gk_1b268d729396,dewi,yes,
gk_cb425170aaa5,dewi,no,
gk_a44a9b60c227,dewi,yes,
gk_7bb89083a1bb,dewi,yes,
gk_95e527af1812,dewi,yes,
gk_a141f6b7c7b2,dewi,yes,
gk_b0a12ad7dd0c,dewi,yes,
gk_d7ddb24e36d6,dewi,no,
gk_eac19662d2c6,alice,yes,
gk_6ab1d024ae5b,alice,yes,
gk_40b224eb0a70,alice,yes,
gk_69a33adebc72,alice,yes,
gk_e7b8f95c6108,alice,yes,
gk_af95091af45e,alice,yes,
gk_e642e8ac6f08,alice,yes,
gk_6d0c8af72026,alice,yes,
gk_dc7ae7802d51,alice,yes,
gk_c4e2bf3af90a,alice,yes,
gk_dfc1ac09fc13,alice,yes,
gk_97eb1e472884,alice,yes,
gk_4b1b01d78f94,alice,yes,
gk_d768f148227e,alice,yes,
gk_40e02ef95e5e,alice,yes,
gk_74b5a799bb31,alice,yes,
gk_a2555a4bead5,alice,yes,
gk_73c62d1eb155,alice,yes,
gk_e0e35820f97a,alice,yes,
gk_6ff8341c3f47,alice,no,Degree is not considered as knowledge for this system
gk_2689538e2da5,alice,yes,
gk_ce2e0f7403e9,alice,yes,
gk_d5ce0175bf3f,alice,yes,
gk_7771cde8b091,alice,yes,
gk_0d30ef429bdf,alice,yes,
gk_ec45c9a0a444,alice,yes,
gk_0dd35820a02b,alice,yes,
gk_9ae1fe96dfae,alice,yes,
gk_3bd1bc1eae26,alice,yes,
gk_6c81b44456fc,alice,yes,
gk_c44b37c34679,alice,no,
gk_f0092274ac53,alice,yes,
gk_79681549114e,alice,yes,
gk_4f7db324eed1,alice,yes,
gk_fe64158785aa,alice,yes,
gk_f7706ff646b6,alice,yes,
gk_0001fa11f6e9,alice,yes,
gk_228bdd636eb1,alice,yes,
gk_89cf694e848a,alice,yes,
gk_d01adfe9efd1,alice,no,
gk_47ac1cd5924d,alice,yes,
gk_d8b75bd6088d,alice,yes,
gk_a089b8b5240d,alice,yes,
gk_74f3ce26a50e,alice,yes,
gk_b830b2df9ada,alice,no,
gk_64df8ccc0929,alice,yes,
gk_db36129e95bd,alice,no,
gk_609ea925915c,alice,no,
gk_dd04108293b2,alice,no,
gk_21c09755d8ce,alice,yes,
gk_a66d5695e5dc,alice,yes,
gk_5d3bab0dbd47,alice,yes,
gk_d2e20d3cf187,alice,yes,
gk_9314f8ad7e8f,alice,yes,
gk_d80e89528f54,alice,yes,
gk_c7aeff3d888e,alice,yes,
gk_705fa353046b,alice,yes,
gk_32abd6c3e609,alice,yes,
gk_fd584e988447,alice,yes,
gk_9bc05af78a58,alice,no,
gk_3b13f18f4ec6,alice,no,
gk_2a666bdfa464,alice,yes,
gk_afa573e630a7,alice,yes,
gk_2c0bde2dc19a,alice,yes,
gk_82cd161f203d,alice,no,
gk_a7f363bfd21b,alice,yes,
gk_f35362d6ec98,alice,no,
gk_4c3fc4ee99ff,alice,yes,
gk_29f0eb64246c,alice,yes,
gk_3f26a8a7d0ac,alice,yes,
gk_f1fe22b088ee,alice,no,
gk_366309d114ba,alice,no,
gk_cc0751afc89c,alice,no,
gk_5d91aa1a83ff,alice,no,
gk_bcc79eb1b046,alice,yes,
gk_08dd9a4884b8,alice,no,
gk_d64cfcd07603,alice,yes,
gk_a35c12889920,alice,yes,
gk_839f96e03c4a,alice,yes,
gk_f79170f141a4,alice,yes,
gk_fdfd553993ec,alice,yes,
gk_278134f970e8,alice,yes,
gk_83ef6111221c,alice,yes,
gk_20bb548aaeca,alice,no,
gk_da8bde5a2ca8,alice,yes,
gk_4209e6903b99,alice,yes,
gk_1a3f4c3df277,alice,no,
gk_b350a00a0df9,alice,yes,
gk_14058d2a08fe,alice,no,
gk_d7c82421be64,alice,no,
gk_2cdf88b0f06e,alice,yes,
gk_21cb6d12b636,alice,no,
gk_58f0b5d298f5,alice,no,
gk_b1af19ac75a4,alice,no,
gk_bdf08961274a,alice,no,
gk_b67ff7ed33dd,alice,yes,
gk_054bfa2cf145,alice,no,
gk_815e3c5735e5,alice,no,
gk_d4088c727db6,alice,no,
gk_a260d7ee146d,alice,no,
