gold_id,job_id,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,is_overlap,notes,is_correct,type_label,bloom_label,labeler_id
gs_df6ca920ce1d,in-9b3833a9e1fd5417,move from place to place within the organization,Soft,,0.593,Medium Low,LLM,0.68,0.9,False,,no,nan,nan,labeler1
gs_9ab663397e50,in-b80e0ab594804dad,actionable insights,Hard,Apply,0.54,Medium Low,BERT (standalone),0.87,0.9,False,,no,nan,nan,labeler1
gs_2c9733288f60,in-3278ed4235ce1ce5,contribute to project initiatives,Hard,Apply,0.566,Medium Low,BERT+LLM,0.83,0.92,False,,yes,nan,nan,labeler1
gs_2db90b686129,in-93d35bef5909087b,embed intelligence across client PC portfolio,Hard,Apply,0.641,Medium,LLM,0.8,0.97,False,,yes,nan,nan,labeler1
gs_5cbf41d2d912,in-d926b3105b1f2495,uphold best practices in coding and design patterns,Hard,Create,0.731,Medium High,LLM,0.77,0.95,False,,yes,nan,nan,labeler1
gs_c6e129e3bb08,in-ec5e0638c86de1ac,protecting the company’s global security posture,Hard,Apply,0.443,Low,BERT (standalone),0.81,0.81,False,,no,nan,nan,labeler1
gs_b285c3e1450d,in-4df4feeef222b833,influence cross-functional teams,Soft,,0.901,Very High,LLM,0.9,1.2,False,,yes,nan,nan,labeler1
gs_974208a8c028,in-c3600cd3827b7a18,translate complex findings into actionable business narratives,Soft,,0.616,Medium,BERT+LLM,0.83,0.94,False,,yes,Hard,Create,labeler1
gs_eb2fb6bcc6f4,in-d4d1876cf437dfb5,design applications,Hard,Create,0.78,Medium High,LLM,0.87,0.99,False,,yes,nan,nan,labeler1
gs_b9ee9a9be4fc,in-92f803b15454a7da,monitor quality of delivery,Hard,Analyze,1.0,Very High,BERT+LLM,0.76,1.21,True,,yes,nan,nan,labeler1
gs_d6c312ab8c14,in-cfa29c8b76c0fa59,Problem,Hard,Apply,0.484,Low,BERT (standalone),0.81,0.82,False,,no,nan,nan,labeler1
gs_05405e14e9c6,in-84631c9d1b210c81,communicate complex analytical findings to non-technical stakeholders,Soft,,0.776,Medium High,BERT+LLM,0.86,1.24,False,,yes,nan,nan,labeler1
gs_d27a011e8dd7,in-1d1342676ede27e0,other written materials.,Hard,Apply,0.483,Low,BERT (standalone),0.82,0.82,True,,no,nan,nan,labeler1
gs_b157c61dd371,in-419aaf9c7b786370,work closely with internal stakeholders,Soft,,0.688,Medium,LLM,0.81,0.97,False,,yes,nan,nan,labeler1
gs_c02ade811f9e,in-b8e58953884c79df,attention to detail,Hard,Understand,0.477,Low,BERT (standalone),0.77,0.86,False,,yes,Soft,nan,labeler1
gs_19aed8eeb68a,in-671571005ebacae4,working in an agile environment,Hard,Apply,0.491,Low,BERT (standalone),0.76,0.85,False,,yes,Hard,Apply,labeler1
gs_96f616faf59f,in-5946b80cede6c15e,oversee facilities projects,Soft,,0.595,Medium Low,BERT+LLM,0.86,0.94,False,,yes,nan,nan,labeler1
gs_afde603c685f,in-f4c6dcb0104bf828,navigate evolving org structures,Hard,Analyze,0.522,Medium Low,BERT (standalone),0.82,0.82,False,,yes,Soft,nan,labeler1
gs_8d0c0b277e5b,in-d9c5a16b8c8a9873,fix bugs,Hard,Apply,0.977,Very High,BERT+LLM,0.73,1.26,True,,yes,Hard,Analyze,labeler1
gs_a65db70b15c0,in-7057c563e0059119,analytic portfolio.,Hard,Apply,0.497,Low,BERT (standalone),0.87,0.85,True,,no,nan,nan,labeler1
gs_584d7f92b0b9,in-63b397b529f61f08,collaborate with others,Soft,,0.646,Medium,LLM,0.81,0.95,False,,yes,nan,nan,labeler1
gs_98e3c8650e8e,in-5d7d5c610bbbb454,development of the iOS codebase.,Hard,Create,0.49,Low,BERT (standalone),0.77,0.84,False,,yes,nan,nan,labeler1
gs_5684c102b594,in-1f407b9e23c9d871,minimize manual effort,Hard,Apply,0.496,Low,BERT (standalone),0.8,0.84,False,,no,nan,nan,labeler1
gs_0d7d3de432e0,in-e08ef62755b0f504,resourceful individual,Hard,Apply,0.429,Low,BERT (standalone),0.9,0.89,False,,yes,Soft,nan,labeler1
gs_5790715bf905,in-2c3dbbbaeec8dc3c,read understand,Hard,Apply,0.487,Low,BERT (standalone),0.81,0.83,False,,no,nan,nan,labeler1
gs_f69f61acf8b4,in-cdbd35a35bbd9c3a,build strong relationships,Soft,,1.0,Very High,BERT+LLM,0.86,1.28,False,,yes,nan,nan,labeler1
gs_e25c8199740a,in-2a1a6a6e5f4f9528,engineer differentiated banker experiences,Hard,Create,0.748,Medium High,LLM,0.89,0.94,True,,yes,nan,nan,labeler1
gs_ceb512a92d2e,in-de7a30a2a5aff750,leverage modern automation frameworks,Hard,Apply,0.661,Medium,LLM,0.86,0.99,False,,yes,nan,nan,labeler1
gs_2c01baa73318,in-d72548ae735ade9d,lead product evolution,Hard,Apply,0.568,Medium Low,LLM,0.8,0.9,False,,yes,Both,Evaluate,labeler1
gs_e381e9358915,in-89791af0e38168e9,influential,Hard,Apply,0.396,Very Low,BERT (standalone),0.9,0.85,True,,no,nan,nan,labeler1
gs_95185f1655d9,in-89916db4bd7461c0,use design processes and best practices,Hard,Create,1.0,Very High,BERT+LLM,0.79,1.18,True,,yes,nan,nan,labeler1
gs_ac97f1774848,in-5dfcc87546b6c522,collaborate with a multidisciplinary team,Soft,,0.689,Medium,LLM,0.82,0.93,True,,yes,nan,nan,labeler1
gs_5cafa5e1863e,in-b7c950252255747c,utilize Zustand for efficient state management,Hard,Apply,0.671,Medium,LLM,0.81,0.94,False,,yes,nan,nan,labeler1
gs_d95602c80bc1,in-df34b9492c6c5689,deliver coordinated designs,Hard,Create,0.74,Medium High,BERT+LLM,0.86,0.97,False,,yes,nan,nan,labeler1
gs_e31a4c65af09,in-1b07eb34b95bda42,manage change,Soft,,0.877,High,BERT+LLM,0.78,1.23,False,,yes,nan,nan,labeler1
gs_0f08f23b6407,in-142dab85f67692ff,enhance clinical workflow engagement,Hard,Create,0.727,Medium High,LLM,0.85,0.92,False,,yes,nan,nan,labeler1
gs_0a9fd6ed5492,in-d0f29ba5682514a8,ensure alignment with the procurement,Hard,Analyze,0.655,Medium,BERT (standalone),0.8,0.85,True,,yes,nan,nan,labeler1
gs_79eaa29d971c,in-2d2d634404a0d780,implement complex software solutions,Hard,Apply,0.675,Medium,BERT (standalone),0.85,0.86,False,,yes,nan,nan,labeler1
gs_97d654965678,in-6431bf655a80d69f,translate requirements into solutions,Soft,,0.652,Medium,LLM,0.86,0.95,False,,yes,Hard,Create,labeler1
gs_7b64385491a2,in-37923fe04c44c2fe,demonstrate strong empathy,Soft,,0.964,Very High,BERT+LLM,0.83,0.97,False,,yes,nan,nan,labeler1
gs_aef42675b4fd,in-3479229689d826d3,physical files.,Hard,Apply,0.499,Low,BERT (standalone),0.81,0.84,False,,no,nan,nan,labeler1
gs_3d46454dfe00,in-972b2206afe362ac,monitor cloud infrastructure,Hard,Analyze,1.0,Very High,BERT+LLM,0.85,1.23,False,,yes,nan,nan,labeler1
gs_e1b439670b64,in-0897c721177d32eb,business perspectives.,Hard,Apply,0.502,Medium Low,BERT (standalone),0.9,0.84,False,,no,nan,nan,labeler1
gs_e159c97207af,in-eb3b12a136583c0b,explore low-code platforms,Hard,Apply,0.707,Medium High,LLM,0.84,0.9,False,,yes,nan,nan,labeler1
gs_968df598c120,in-d758567c975a1fde,expand project portfolio,Hard,Apply,0.595,Medium Low,LLM,0.82,0.9,False,,yes,nan,nan,labeler1
gs_401b5741c552,in-f76b567c5d1537f7,build scalable distributed systems,Hard,Apply,0.452,Low,LLM,0.83,1.0,True,,yes,Hard,Create,labeler1
gs_1eb461a53291,in-e3f0daf187e82d4b,change management activities.,Hard,Apply,0.72,Medium High,BERT (standalone),0.87,0.88,False,,yes,nan,nan,labeler1
gs_3137dfe8b218,in-9e438840493cd524,initiative,Hard,Apply,0.479,Low,BERT (standalone),0.9,0.85,False,,no,nan,nan,labeler1
gs_c9a0303be400,in-84c9133fbff59b4e,capacity -building initiatives.,Hard,Create,0.544,Medium Low,BERT (standalone),0.89,0.85,False,,yes,Soft,nan,labeler1
gs_4686dff5f4f6,in-a91f952ba342e2af,work in a highly technical environment,Soft,,0.613,Medium,LLM,0.77,0.91,False,,yes,nan,nan,labeler1
gs_f764213723f6,in-863349e3091efe5c,evaluate frameworks,Hard,Evaluate,0.761,Medium High,LLM,0.87,0.96,False,,yes,nan,nan,labeler1
gs_b7fd4ed99edd,in-ff075051d13a6c01,problem,Hard,Apply,0.441,Low,BERT (standalone),0.81,0.85,False,,no,nan,nan,labeler1
gs_0d72e5d65b57,in-55d3f0e90d3fb712,contribute to a culture of technical excellence,Soft,,0.65,Medium,LLM,0.78,0.97,False,,yes,nan,nan,labeler1
gs_6f0cf2b1ba8c,in-e0e8649e3aea76ad,elucidate complex situations and technical details,Soft,,0.778,Medium High,BERT+LLM,0.85,1.23,False,,yes,nan,nan,labeler1
gs_2c022aa483e4,in-8f478ee1a04c8b39,build security program,Hard,Create,0.804,High,LLM,0.8,1.03,False,,yes,nan,nan,labeler1
gs_295fbc50ba32,in-3fb54fab8c73980b,succeed,Hard,Apply,0.432,Low,BERT (standalone),0.81,0.88,True,,no,nan,nan,labeler1
gs_51605434ed59,in-cc73621927266f31,perform effectively within a team setting,Soft,,0.697,Medium,LLM,0.78,0.95,True,,yes,nan,nan,labeler1
gs_277e13c07f14,in-8dd5d4585690140f,develop go-to-market offerings,Hard,Create,1.0,Very High,BERT+LLM,0.83,1.23,False,,yes,nan,nan,labeler1
gs_b1a7b4a6f3c2,in-1bd82a15253548fb,Utilize,Hard,Apply,0.645,Medium,BERT (standalone),0.81,0.83,False,,no,nan,nan,labeler1
gs_34e14a4b28c7,in-78615d702babce9a,ensure data consistency,Hard,Analyze,0.681,Medium,BERT (standalone),0.81,0.88,False,,yes,nan,nan,labeler1
gs_006e8f80bbee,in-f920a5e3305e6c06,maintain standards of practice,Soft,,0.867,High,BERT+LLM,0.82,1.2,False,,yes,nan,nan,labeler1
gs_73047422e676,in-f2c8a6a56912ad62,present actionable data-driven insights,Hard,Understand,1.0,Very High,BERT+LLM,0.86,1.21,False,,yes,Hard,Analyze,labeler1
gs_32eaabc9c25a,in-8095ada1c7fb2640,Lead,Hard,Apply,0.476,Low,BERT (standalone),0.72,0.85,False,,no,nan,nan,labeler1
gs_9e2357891f2e,in-1ea2b623eec1e339,maintain HIPAA/patient confidentiality,Hard,Analyze,1.0,Very High,BERT+LLM,0.86,1.22,False,,yes,nan,nan,labeler1
gs_880b238e73c6,in-086d78db06dcbeb9,Hardware,Hard,Apply,0.533,Medium Low,BERT (standalone),0.84,0.9,True,,no,nan,nan,labeler1
gs_86a1ea553baa,in-7b82c59dcaacbdc4,complete work asynchronously,Soft,,0.627,Medium,LLM,0.86,0.92,False,,yes,nan,nan,labeler1
gs_7ff902396aaa,in-5fa568b93e088d5f,documentation skills.,Hard,Apply,0.434,Low,BERT (standalone),0.9,0.84,False,,yes,nan,nan,labeler1
gs_9f14b6352d01,in-d44c31d5b5f0b6c8,design secure architectures for enterprise and multi-cloud environments,Hard,Create,0.744,Medium High,LLM,0.84,0.95,False,,yes,nan,nan,labeler1
gs_d9b322a7781d,in-21e146a3cfcd50c9,Contributing to the development of functional requirements,Hard,Create,0.533,Medium Low,BERT (standalone),0.82,0.86,True,,yes,nan,nan,labeler1
gs_c9190624c74f,in-7d12206e33578a17,perform tasks using legal software systems,Hard,Apply,0.83,High,BERT+LLM,0.79,0.96,True,,yes,nan,nan,labeler1
gs_e39e14392b50,in-1fbf7bf716c53c39,Problem,Hard,Apply,0.512,Medium Low,BERT (standalone),0.81,0.87,False,,no,nan,nan,labeler1
gs_b09c73947836,in-f764efe60eabb1fd,implementing,Hard,Apply,0.595,Medium Low,BERT (standalone),0.9,0.92,False,,no,nan,nan,labeler1
gs_ff48829f55ee,in-142ff31550090325,implement High Availability technologies,Hard,Analyze,0.666,Medium,LLM,0.88,0.95,False,,yes,Hard,Apply,labeler1
gs_724347f1a6ef,in-00da6b68373c3343,Design or develop data model,Hard,Create,0.615,Medium,BERT (standalone),0.74,0.85,True,,yes,nan,nan,labeler1
gs_40d138cff684,in-4d80d51ffa972a83,drive business requirements,Hard,Apply,0.978,Very High,BERT+LLM,0.85,1.25,False,,yes,nan,nan,labeler1
gs_689f70367e77,in-8cd2fb4b86471df8,evaluates its performance,Hard,Evaluate,0.462,Low,BERT (standalone),0.83,0.87,False,,no,nan,nan,labeler1
gs_45e3521c0d3e,in-3df9068dc461e88b,Build,Hard,Create,0.64,Medium,BERT (standalone),0.75,0.87,True,,no,nan,nan,labeler1
gs_4aeda207122c,in-3877a17577952f0a,detail,Hard,Understand,0.584,Medium Low,BERT (standalone),0.78,0.81,False,,no,nan,nan,labeler1
gs_5b9d5560372b,in-8af333b6ee0b9c26,quality assurance activities on datasets,Hard,Apply,0.473,Low,BERT (standalone),0.82,0.84,True,,no,nan,nan,labeler1
gs_c09319b7e2b7,in-b0ac7b7f5a1d2990,Undertake training,Hard,Apply,0.431,Low,BERT (standalone),0.86,0.82,False,,no,nan,nan,labeler1
gs_b72cd3a63797,in-5234a3e36083c4a4,systems,Hard,Apply,0.501,Medium Low,BERT (standalone),0.81,0.85,False,,no,nan,nan,labeler1
gs_25e8446de767,in-42f88b181d4e0786,communicate effectively to any audience,Soft,,0.643,Medium,LLM,0.81,0.95,False,,yes,nan,nan,labeler1
gs_e3d9059945b2,in-ea3ba643ba99df4f,work on exciting projects,Soft,,0.634,Medium,LLM,0.77,0.94,True,,yes,Hard,Apply,labeler1
gs_f38dcf965473,in-8f7deb7d911e2a14,use cases.,Hard,Apply,0.669,Medium,BERT (standalone),0.74,0.87,False,,no,nan,nan,labeler1
gs_809b8f8948ca,in-8aefa98d76365d70,design PLC solutions,Hard,Create,0.733,Medium High,LLM,0.78,0.94,False,,yes,nan,nan,labeler1
gs_80590eade1db,in-6704a5e105c98b94,sorting,Hard,Apply,0.501,Medium Low,BERT (standalone),0.81,0.85,False,,no,nan,nan,labeler1
gs_a12c150d9af9,in-6efbac85e613d090,successful,Hard,Apply,0.366,Very Low,BERT (standalone),0.9,0.84,False,,no,nan,nan,labeler1
gs_1ac65b231729,in-a224209703562542,implement software component designs,Hard,Create,1.0,Very High,BERT+LLM,0.82,1.26,False,,yes,nan,nan,labeler1
gs_ed580fa4a9fe,in-745270116d0cf41d,Planning,Soft,,0.646,Medium,BERT (standalone),0.84,0.85,False,,no,nan,nan,labeler1
gs_841c49761ce1,in-e08ef62755b0f504,providing development,Hard,Create,0.576,Medium Low,BERT (standalone),0.9,0.89,False,,no,nan,nan,labeler1
gs_ba6a833d85de,in-3f224c42951e0dc7,design multimedia content,Hard,Create,0.698,Medium,LLM,0.83,0.93,False,,yes,nan,nan,labeler1
gs_75229a4f1a35,in-af565edfa446505e,exercise autonomy,Soft,,0.613,Medium,LLM,0.84,0.9,False,,yes,nan,nan,labeler1
gs_db4483917a0b,in-0e0398f63d23ca2f,off the product:,Hard,Apply,0.497,Low,BERT (standalone),0.74,0.85,False,,no,nan,nan,labeler1
gs_41c24aab970a,in-988bc453a2bad628,surface insights,Hard,Apply,0.51,Medium Low,BERT (standalone),0.83,0.86,False,,no,nan,nan,labeler1
gs_0d71fc57e943,in-13cd763ff4d07a7b,stimulating environment,Hard,Apply,0.52,Medium Low,BERT (standalone),0.9,0.87,False,,no,nan,nan,labeler1
gs_e4dd4fd66049,in-81bcd73216f56631,‘get out’ (When,Hard,Apply,0.505,Medium Low,BERT (standalone),0.73,0.88,False,,no,nan,nan,labeler1
gs_ee5c5463f5db,in-edc12d7f8029bace,co-develop data science projects,Hard,Create,0.621,Medium,LLM,0.82,0.9,False,,yes,nan,nan,labeler1
gs_e8513ef66939,in-144e1bdc63117a17,ensuring,Hard,Apply,0.33,Very Low,BERT (standalone),0.84,0.83,False,,no,nan,nan,labeler1
gs_cf6556996886,in-6efc9b82740d873a,assist in design operations,Hard,Create,0.741,Medium High,LLM,0.78,0.95,False,,yes,Hard,Apply,labeler1
gs_4751c3057df5,in-3cc018729e1d5862,foster a high-performing team culture,Soft,,0.707,Medium High,LLM,0.8,0.96,False,,yes,nan,nan,labeler1
gs_81d60fa7fdc3,in-c787ac59de1edcb9,run services on Azure,Hard,Apply,0.692,Medium,LLM,0.74,0.9,False,,yes,nan,nan,labeler1
gs_73c3b7b1ca88,in-67f26a0518e093ec,translate technical insights into business solutions,Soft,,0.813,High,BERT+LLM,0.84,1.23,False,,yes,Hard,Create,labeler1
gs_45c141807c2e,in-63b397b529f61f08,analytical,Hard,Apply,0.503,Medium Low,BERT (standalone),0.9,0.86,False,,no,nan,nan,labeler1
gs_8096ed417eac,in-b384ffc42151e03d,compliance.,Hard,Apply,0.513,Medium Low,BERT (standalone),0.9,0.85,False,,no,nan,nan,labeler1
gs_6dc8521e3981,in-3dfab7dc01a6b043,enhance developer experience,Hard,Create,1.0,Very High,BERT+LLM,0.86,1.23,True,,yes,nan,nan,labeler1
gs_b0baa40495bb,in-1917388edcf60f23,Maintains Relationships +,Soft,,0.698,Medium,BERT (standalone),0.83,0.86,False,,yes,nan,nan,labeler1
gs_570003ee6ffe,in-0509ecb72e43bde3,work independently,Soft,,0.481,Low,BERT+LLM,0.88,0.92,False,,yes,nan,nan,labeler1
gs_c6d743c3b201,in-8a68ca196682f2c8,drive business ethos,Soft,,0.633,Medium,LLM,0.78,0.9,False,,yes,nan,nan,labeler1
gs_6c3028872359,in-8eef737137e8774c,align cross-functional teams,Soft,,0.69,Medium,LLM,0.86,0.92,True,,yes,nan,nan,labeler1
gs_e3bff7a2a197,in-bacf82922de13ca1,manager,Soft,,0.463,Low,BERT (standalone),0.81,0.83,False,,no,nan,nan,labeler1
gs_778e63171eac,in-7e2a69f49aa9cf7b,Write clean,Hard,Create,0.664,Medium,BERT (standalone),0.75,0.86,True,,no,nan,nan,labeler1
gs_64ec041e1ddd,in-5a12a95c2e42e8ec,engage affiliate companies,Soft,,0.875,High,LLM,0.84,1.28,False,,yes,nan,nan,labeler1
gs_d483c1c7d4ea,in-c57656b277e040d6,ensure industry best practices,Hard,Analyze,0.663,Medium,BERT (standalone),0.8,0.86,False,,yes,Soft,nan,labeler1
gs_5ad0fc5e5208,in-de49eb423fe856de,work with clients,Soft,,0.629,Medium,LLM,0.75,0.9,False,,yes,nan,nan,labeler1
gs_22c780d4e37d,in-b68dbc93bf7f7024,user -friendly solutions.,Hard,Apply,0.545,Medium Low,BERT (standalone),0.83,0.85,False,,no,nan,nan,labeler1
gs_703086cddd1a,in-1dbacc57e8e788a6,adding new Scores,Hard,Evaluate,0.536,Medium Low,BERT (standalone),0.75,0.85,False,,no,nan,nan,labeler1
gs_c0b89d4669fe,in-a5a5c561702f52ea,maintain responsive web applications,Hard,Analyze,0.747,Medium High,LLM,0.85,0.95,False,,yes,nan,nan,labeler1
gs_f1bfe86a83ba,in-cc73621927266f31,work collaboratively within multidisciplinary teams.,Soft,,0.718,Medium High,BERT (standalone),0.89,0.85,False,,yes,nan,nan,labeler1
gs_c2a27281c4c7,in-ef38df62dfd1488b,analyze data,Hard,Analyze,1.0,Very High,BERT+LLM,0.77,1.24,True,,yes,nan,nan,labeler1
gs_a60286cb62f1,in-9113698e7ada7eac,record company information,Hard,Remember,1.0,Very High,BERT+LLM,0.86,1.21,False,,yes,nan,nan,labeler1
gs_74f8f01c7cac,in-558ae189d27d902f,document HR workflows,Hard,Apply,0.701,Medium High,LLM,0.79,0.94,False,,yes,nan,nan,labeler1
gs_bfa3b837efbe,in-4e7908c265079379,departments,Hard,Apply,0.479,Low,BERT (standalone),0.9,0.81,False,,no,nan,nan,labeler1
gs_8504efad0e8e,in-8d24497040ab426e,design data collection methods,Hard,Create,0.946,Very High,LLM,0.8,1.27,False,,yes,nan,nan,labeler1
gs_e5f9fb347cfe,in-a9fee87500584a6a,retention,Hard,Apply,0.515,Medium Low,BERT (standalone),0.87,0.86,False,,no,nan,nan,labeler1
gs_7bc7a55ad2df,in-8393796e4e09484b,configuration,Hard,Apply,0.477,Low,BERT (standalone),0.9,0.89,False,,no,nan,nan,labeler1
gs_6bc0ffb71ccf,in-d78a0a865a57f355,assist with SQL/PLSQL development,Hard,Create,0.644,Medium,LLM,0.83,0.93,False,,yes,Hard,Apply,labeler1
gs_9c63c735bc36,in-518a0b4eca9cfce5,participate in code reviews,Hard,Evaluate,1.0,Very High,BERT+LLM,0.78,1.27,False,,yes,nan,nan,labeler1
gs_6727b2f6b51e,in-e3f0daf187e82d4b,facilitate user adoption,Soft,,0.824,High,BERT+LLM,0.82,1.25,True,,yes,nan,nan,labeler1
gs_a3af1c4384dd,in-1d1342676ede27e0,carry,Hard,Apply,0.475,Low,BERT (standalone),0.75,0.82,True,,no,nan,nan,labeler1
gs_24bacf194a4d,in-bada9672a649590f,double-check work,Soft,,0.666,Medium,LLM,0.84,0.98,False,,yes,nan,nan,labeler1
gs_5b8517dd9596,in-a5aa187f46ca3d49,contribute to technical reports,Hard,Understand,1.0,Very High,BERT+LLM,0.81,1.32,False,,yes,nan,nan,labeler1
gs_b7e5e7a9d628,in-5ab82c9a9034bbd2,conduct follow up calls,Hard,Apply,0.987,Very High,BERT+LLM,0.75,1.28,True,,yes,nan,nan,labeler1
gs_50e40d511a67,in-bf0c349b6d379731,create innovative spatial solutions,Hard,Create,1.0,Very High,BERT+LLM,0.84,1.21,True,,yes,nan,nan,labeler1
gs_3ef09db159bb,in-24d1f5ac44850c4d,provide expertise in manufacturing sciences,Hard,Apply,0.601,Medium,LLM,0.83,0.91,False,,yes,nan,nan,labeler1
gs_73a491e853c1,in-cce820d6410ecd03,demonstrate platform capabilities,Hard,Evaluate,0.655,Medium,LLM,0.9,0.93,False,,yes,nan,nan,labeler1
gs_60b6b807c1e6,in-210c69eb2b0e6e9a,drawings,Hard,Apply,0.508,Medium Low,BERT (standalone),0.84,0.85,False,,no,nan,nan,labeler1
gs_c5c18d17bccf,in-232e8aec1d66a990,drive creation of content systems,Hard,Apply,0.691,Medium,BERT+LLM,0.77,0.92,False,,yes,nan,nan,labeler1
gs_e4758ef97003,in-3b7df76f33979944,formal,Hard,Apply,0.328,Very Low,BERT (standalone),0.78,0.84,False,,no,nan,nan,labeler1
gs_8038a5c3e16a,in-5a34321d1db0c9f0,guide development of AI standards,Hard,Create,0.652,Medium,LLM,0.77,1.0,False,,yes,nan,nan,labeler1
gs_dc35ee616ab4,in-f920a5e3305e6c06,follow -up action planning,Soft,,0.64,Medium,BERT (standalone),0.77,0.86,False,,no,nan,nan,labeler1
gs_c111a0990b3c,in-144e1bdc63117a17,communicate cross-discipline and provide innovative solutions to pipeline issues,Soft,,0.734,Medium High,BERT+LLM,0.83,1.16,False,,yes,nan,nan,labeler1
gs_c982848c53fc,in-6efbac85e613d090,guide students,Hard,Apply,0.494,Low,BERT (standalone),0.8,0.84,True,,no,nan,nan,labeler1
gs_a909a60eb5f2,in-d2ad44a21f6d9b86,manage VPN and infrastructure,Hard,Analyze,0.66,Medium,LLM,0.8,0.96,False,,yes,nan,nan,labeler1
gs_5d5789256d3e,in-0d7e261a49f528ba,communicator.,Hard,Apply,0.359,Very Low,BERT (standalone),0.9,0.85,True,,no,nan,nan,labeler1
gs_5aff5a8f7282,in-d13ee0d1ab674ca8,reproduce,Hard,Create,0.545,Medium Low,BERT (standalone),0.87,0.85,False,,no,nan,nan,labeler1
gs_cc95ce1c5a4a,in-b2be13f6c912c5ee,improve accuracy,Hard,Create,0.617,Medium,BERT (standalone),0.83,0.84,True,,no,nan,nan,labeler1
gs_753e2ef49707,in-4b1eb891426139d1,"partner with product teams to design, test, and deliver user-centric solutions",Soft,,0.901,Very High,BERT+LLM,0.78,0.95,False,,yes,Both,Create,labeler1
gs_ad2ba9aa8e9e,in-0bc478259f6f6e9d,provide guidance to maintain coding standards,Soft,,0.841,High,BERT+LLM,0.8,1.18,False,,yes,Both,Evaluate,labeler1
gs_aeb98b92be92,in-a5ce554b66b09f1b,decompose complex technical problems,Hard,Create,0.647,Medium,LLM,0.85,0.93,False,,yes,Hard,Analyze,labeler1
gs_1fae6f05c3cf,in-adfc797cfebb6af4,presentation skills.,Soft,,0.534,Medium Low,BERT (standalone),0.89,0.85,False,,yes,nan,nan,labeler1
